3533,7,250
3705,48,22
2607,109,290
3717,19,188
816,67,301
307,1,335
639,45,2151
39,7,2015
2981,29,181
559,39,2440
1621,28,764
1269,212,1015
1333,42,201
519,28,3016
6545,12,540
309,11,180
215,22,1335
3583,69,521
0247C,92,1200
1649,5,719
2954A,023A,35
914,003B,2190
1933,40,1624
1933,42,1618
1933,41,1622
1548,15,557
260,16,433
125,21,1111
3053,19,320
266,9,1
1571,016A,3735
3587,105,638
260,16,433
6929,2,85
6767,17,70
6419,13,170
649,5,1703
7537,61,460
960,2,2674
6174,16,1155
2618,39,401
2618,39,403
3597,41,719
5806,8,50
5806,8,52
0486A,25,2166
3612,18,780
3612,18,782
2056,9,1843
